Name,Age,Saison
Arnau Puigmal,19,2019-2020
Ethan Galbraith,19,2019-2020
Juan Mata,32,2019-2020
Daniel James,22,2019-2020
Mason Greenwood,18,2019-2020
Tahith Chong,20,2019-2020
Odion Ighalo,31,2019-2020
D´Mani Mellor,19,2019-2020
Jesse Lingard,27,2019-2020
Angel Gomes,19,2019-2020
Largie Ramazani,19,2019-2020
Anthony Martial,24,2019-2020
Marcus Rashford,22,2019-2020
Gomes,30,2010-2011
Carlo Cudicini,37,2010-2011
Ben Alnwick,24,2010-2011
David Button,22,2010-2011
Stipe Pletikosa,32,2010-2011
Alan Hutton,26,2010-2011
Younès Kaboul,25,2010-2011
William Gallas,33,2010-2011
Kyle Naughton,22,2010-2011
Sébastien Bassong,24,2010-2011
Michael Dawson,27,2010-2011
Vedran Corluka,25,2010-2011
Ledley King,30,2010-2011
Kyle Walker,21,2010-2011
Benoît Assou-Ekotto,27,2010-2011
Bongani Khumalo,24,2010-2011
Jonathan Woodgate,31,2010-2011
Adam Smith,20,2010-2011
Calum Butcher,20,2010-2011
Steven Caulker,19,2010-2011
Gareth Bale,21,2010-2011
David Bentley,26,2010-2011
Tom Huddlestone,24,2010-2011
Aaron Lennon,24,2010-2011
Jermaine Jenas,28,2010-2011
Rafael van der Vaart,28,2010-2011
Wilson Palacios,26,2010-2011
